"OM","M_E","M_W","steep_E","steep_W","B0_E","B0_W"
1,0.1,0.1,0.98,0.9,573.953,64.4383
2,0.1,0.1,0.7,0.6,984.416,76.3097
3,0.1,0.1,0.98,0.9,573.953,64.4383
4,0.07,0.07,0.98,0.9,663.117,63.2868
5,0.07,0.07,0.7,0.6,1197.99,84.6235
6,0.07,0.07,0.98,0.9,663.117,63.2868
7,0.1,0.1,0.98,0.9,581.043,67.8938
8,0.1,0.1,0.7,0.6,1003.56,75.8587
9,0.1,0.1,0.98,0.9,581.043,67.8938
10,0.07,0.07,0.98,0.9,597.825,85.6089
11,0.07,0.07,0.7,0.6,1268.39,86.9454
12,0.07,0.07,0.98,0.9,597.825,85.6089
13,0.1,0.1,0.98,0.9,758.267,65.8985
14,0.1,0.1,0.7,0.6,1098.88,75.7504
15,0.1,0.1,0.98,0.9,758.267,65.8985
16,0.07,0.07,0.98,0.9,831.053,64.22
17,0.07,0.07,0.7,0.6,1524.98,81.4277
18,0.07,0.07,0.98,0.9,831.053,64.22
19,0.1,0.1,0.98,0.9,733.878,71.3024
20,0.1,0.1,0.7,0.6,1125.35,74.3265
21,0.1,0.1,0.98,0.9,733.878,71.3024
22,0.07,0.07,0.98,0.9,831.999,71.468
23,0.07,0.07,0.7,0.6,1536.69,83.6159
24,0.07,0.07,0.98,0.9,831.999,71.468
25,0.1,0.1,0.98,0.9,535.327,80.9493
26,0.1,0.1,0.7,0.6,1001.72,78.131
27,0.1,0.1,0.98,0.9,535.327,80.9493
28,0.07,0.07,0.98,0.9,548.564,147.56
29,0.07,0.07,0.7,0.6,1248.46,84.1277
30,0.07,0.07,0.98,0.9,548.564,147.56
31,0.1,0.1,0.98,0.9,527.137,91.5135
32,0.1,0.1,0.7,0.6,1016.52,75.7069
33,0.1,0.1,0.98,0.9,527.137,91.5135
34,0.07,0.07,0.98,0.9,538.49,163.345
35,0.07,0.07,0.7,0.6,1246.39,82.5632
36,0.07,0.07,0.98,0.9,538.49,163.345
37,0.1,0.1,0.98,0.9,701.809,80.9843
38,0.1,0.1,0.7,0.6,1103.25,86.9755
39,0.1,0.1,0.98,0.9,701.809,80.9843
40,0.07,0.07,0.98,0.9,735.589,91.5927
41,0.07,0.07,0.7,0.6,1507.21,89.4515
42,0.07,0.07,0.98,0.9,735.589,91.5927
43,0.1,0.1,0.98,0.9,672.196,90.8992
44,0.1,0.1,0.7,0.6,1139.31,78.3457
45,0.1,0.1,0.98,0.9,672.196,90.8992
46,0.07,0.07,0.98,0.9,737.572,96.1851
47,0.07,0.07,0.7,0.6,1541.74,92.8997
48,0.07,0.07,0.98,0.9,737.572,96.1851
49,0.1,0.1,0.98,0.9,588.115,77.9936
50,0.1,0.1,0.7,0.6,1088.69,92.9821
51,0.1,0.1,0.98,0.9,588.115,77.9936
52,0.07,0.07,0.98,0.9,645.157,84.347
53,0.07,0.07,0.7,0.6,1428.33,96.9459
54,0.07,0.07,0.98,0.9,645.157,84.347
55,0.1,0.1,0.98,0.9,582.645,85.9578
56,0.1,0.1,0.7,0.6,1110.58,96.2072
57,0.1,0.1,0.98,0.9,582.645,85.9578
58,0.07,0.07,0.98,0.9,651.347,87.8886
59,0.07,0.07,0.7,0.6,1458.86,109.455
60,0.07,0.07,0.98,0.9,651.347,87.8886
61,0.1,0.1,0.98,0.9,731.243,79.454
62,0.1,0.1,0.7,0.6,1291.74,93.7093
63,0.1,0.1,0.98,0.9,731.243,79.454
64,0.07,0.07,0.98,0.9,768.396,82.2553
65,0.07,0.07,0.7,0.6,1746.95,99.5312
66,0.07,0.07,0.98,0.9,768.396,82.2553
67,0.1,0.1,0.98,0.9,661.131,89.0508
68,0.1,0.1,0.7,0.6,1320.34,95.7382
69,0.1,0.1,0.98,0.9,661.131,89.0508
70,0.07,0.07,0.98,0.9,761.758,87.6895
71,0.07,0.07,0.7,0.6,1919.72,118.196
72,0.07,0.07,0.98,0.9,761.758,87.6895
73,0.1,0.1,0.98,0.9,509.386,160.91
74,0.1,0.1,0.7,0.6,1082.13,122.803
75,0.1,0.1,0.98,0.9,509.386,160.91
76,0.07,0.07,0.98,0.9,556.923,175.02
77,0.07,0.07,0.7,0.6,1396.62,129.159
78,0.07,0.07,0.98,0.9,556.923,175.02
79,0.1,0.1,0.98,0.9,510.061,153.066
80,0.1,0.1,0.7,0.6,1077.75,135.632
81,0.1,0.1,0.98,0.9,510.061,153.066
82,0.07,0.07,0.98,0.9,538.046,192.419
83,0.07,0.07,0.7,0.6,1350.13,144.403
84,0.07,0.07,0.98,0.9,538.046,192.419
85,0.1,0.1,0.98,0.9,653.739,128.302
86,0.1,0.1,0.7,0.6,1265.18,120.587
87,0.1,0.1,0.98,0.9,653.739,128.302
88,0.07,0.07,0.98,0.9,665.437,169.198
89,0.07,0.07,0.7,0.6,1826.88,128.849
90,0.07,0.07,0.98,0.9,665.437,169.198
91,0.1,0.1,0.98,0.9,628.791,141.163
92,0.1,0.1,0.7,0.6,1265.4,132.944
93,0.1,0.1,0.98,0.9,628.791,141.163
94,0.07,0.07,0.98,0.9,649.122,185.74
95,0.07,0.07,0.7,0.6,1568.3,147.84
96,0.07,0.07,0.98,0.9,649.122,185.74
