"OM","lnq_MED","lnq_GOM","Bmsy_MED","Bmsy_GOM","Fmsy_MED","Fmsy_GOM","MSY_MED","MSY_GOM","B0_MED","B0_GOM","M_E","M_W"
1,-18.6358,-14.8609,815.53958144954,5.70767539775805,0.0999337844398689,0.170943204492789,72.7460211063621,0.869262333173097,573.953,64.4383,0.1,0.1
2,-18.4008,-15.3255,309.391292866235,11.0082818805668,0.0743526985573359,0.121612537194068,20.9266635993963,1.22529364424421,984.416,76.3097,0.1,0.1
3,-18.6358,-14.8609,815.53958144954,5.70767539775805,0.0999337844398689,0.170943204492789,72.7460211063621,0.869262333173097,573.953,64.4383,0.1,0.1
4,-18.887,-14.8252,1082.26716830626,9.80202521529673,0.0778815903320569,0.132532684960375,77.6122530908094,1.19901653805254,663.117,63.2868,0.07,0.07
5,-18.548,-15.93,341.392462592306,7.90728145131282,0.0571524912626478,0.141741729534993,18.2539189911017,1.04917870467297,1197.99,84.6235,0.07,0.07
6,-18.887,-14.8252,1082.26716830626,9.80202521529673,0.0778815903320569,0.132532684960375,77.6122530908094,1.19901653805254,663.117,63.2868,0.07,0.07
7,-18.6588,-14.7039,813.261788206201,5.71575589917506,0.0994766475708335,0.165384542040557,72.2172632059108,0.843478282144677,581.043,67.8938,0.1,0.1
8,-18.4272,-15.2058,312.612203742735,9.88994984557244,0.075117734473798,0.131070670159799,21.3619619368672,1.18551369268197,1003.56,75.8587,0.1,0.1
9,-18.6588,-14.7039,813.261788206201,5.71575589917506,0.0994766475708335,0.165384542040557,72.2172632059108,0.843478282144677,581.043,67.8938,0.1,0.1
10,-18.2305,-15.2866,902.482617037015,18.9511602193632,0.0816663835988878,0.110303198985461,67.8924876829403,1.93340372409103,597.825,85.6089,0.07,0.07
11,-18.6123,-15.8604,369.335524084338,8.03760739193412,0.0566122614217199,0.142638189245506,19.5608291621673,1.07312317689298,1268.39,86.9454,0.07,0.07
12,-18.2305,-15.2866,902.482617037015,18.9511602193632,0.0816663835988878,0.110303198985461,67.8924876829403,1.93340372409103,597.825,85.6089,0.07,0.07
13,-18.7894,-14.7713,862.642694067507,5.89417921659557,0.101911164442104,0.169456374432386,78.4302319027828,0.890816592088706,758.267,65.8985,0.1,0.1
14,-18.4786,-15.2756,340.472252523999,11.0795273993048,0.0743216990829651,0.120893601658853,23.0255991371752,1.22595392777491,1098.88,75.7504,0.1,0.1
15,-18.7894,-14.7713,862.642694067507,5.89417921659557,0.101911164442104,0.169456374432386,78.4302319027828,0.890816592088706,758.267,65.8985,0.1,0.1
16,-18.8919,-14.8211,1188.71370412323,9.87824217555503,0.0781530255849578,0.131072808083852,85.5418388157521,1.19537847577777,831.053,64.22,0.07,0.07
17,-18.4736,-15.8146,408.990854019701,8.77985698737122,0.0597203425489941,0.128351335926055,22.8694151111015,1.05667397191554,1524.98,81.4277,0.07,0.07
18,-18.8919,-14.8211,1188.71370412323,9.87824217555503,0.0781530255849578,0.131072808083852,85.5418388157521,1.19537847577777,831.053,64.22,0.07,0.07
19,-18.9283,-14.7751,858.170969514314,5.78469067654072,0.101057366246678,0.161315409819422,77.3928145472956,0.833182605499372,733.878,71.3024,0.1,0.1
20,-18.5217,-15.1489,349.861078735353,9.84565734152629,0.0739578769929535,0.129585459220819,23.5488497578355,1.16692723105772,1125.35,74.3265,0.1,0.1
21,-18.9283,-14.7751,858.170969514314,5.78469067654072,0.101057366246678,0.161315409819422,77.3928145472956,0.833182605499372,733.878,71.3024,0.1,0.1
22,-18.994,-14.7604,1186.44413608775,8.25982875350698,0.0772944703071667,0.149183271352373,84.4648190417821,1.1348189451985,831.999,71.468,0.07,0.07
23,-18.4977,-15.7798,417.726091352717,8.02418594804707,0.0591349125527526,0.139165511804704,23.0965898767088,1.04575180659174,1536.69,83.6159,0.07,0.07
24,-18.994,-14.7604,1186.44413608775,8.25982875350698,0.0772944703071667,0.149183271352373,84.4648190417821,1.1348189451985,831.999,71.468,0.07,0.07
25,-18.8696,-16.2394,797.101675417567,5.2998011837926,0.101053798262096,0.186277324989412,71.8894527709938,0.877761288358481,535.327,80.9493,0.1,0.1
26,-18.4784,-15.7917,321.825179236671,10.2755059582482,0.0710783252294818,0.113288357879488,20.8251004318036,1.06642825556564,1001.72,78.131,0.1,0.1
27,-18.8696,-16.2394,797.101675417567,5.2998011837926,0.101053798262096,0.186277324989412,71.8894527709938,0.877761288358481,535.327,80.9493,0.1,0.1
28,-18.164,-17.6439,1021.46982863254,13.7533381330587,0.0813809484613857,0.137454969653617,76.4894819944543,1.74262979419003,548.564,147.56,0.07,0.07
29,-18.6816,-16.306,357.892922624175,6.09332218731434,0.0568204669449104,0.163989323410294,19.0276777495845,0.931737896148033,1248.46,84.1277,0.07,0.07
30,-18.164,-17.6439,1021.46982863254,13.7533381330587,0.0813809484613857,0.137454969653617,76.4894819944543,1.74262979419003,548.564,147.56,0.07,0.07
31,-18.938,-16.2321,805.083880755447,5.50004144914722,0.100511903063831,0.187182384756876,72.2334456592322,0.913961921346418,527.137,91.5135,0.1,0.1
32,-18.5134,-15.6633,322.703717237801,9.473439662918,0.0721951264931039,0.120767967071109,21.2081803166346,1.04742466165419,1016.52,75.7069,0.1,0.1
33,-18.938,-16.2321,805.083880755447,5.50004144914722,0.100511903063831,0.187182384756876,72.2334456592322,0.913961921346418,527.137,91.5135,0.1,0.1
34,-18.234,-17.6355,1023.77805380386,13.2088610851732,0.0807111178879777,0.153423505972494,76.0396972891336,1.86344270782168,538.49,163.345,0.07,0.07
35,-18.7176,-16.0888,352.598211401495,6.06854972693849,0.0576142511521924,0.163316896338333,18.985741158733,0.924417335915484,1246.39,82.5632,0.07,0.07
36,-18.234,-17.6355,1023.77805380386,13.2088610851732,0.0807111178879777,0.153423505972494,76.0396972891336,1.86344270782168,538.49,163.345,0.07,0.07
37,-18.9912,-16.1175,882.07420749049,5.4115494244047,0.102211935435892,0.180109418174524,80.4369421357073,0.867724628643705,701.809,80.9843,0.1,0.1
38,-18.5941,-16.1479,353.55633565647,9.58129104760918,0.068972967104537,0.120041671936018,22.2136806781061,1.05163647053493,1103.25,86.9755,0.1,0.1
39,-18.9912,-16.1175,882.07420749049,5.4115494244047,0.102211935435892,0.180109418174524,80.4369421357073,0.867724628643705,701.809,80.9843,0.1,0.1
40,-19.2927,-16.561,1227.48577254302,7.52023303398701,0.0769539874590392,0.161565940734017,87.0125272778797,1.11611744660891,735.589,91.5927,0.07,0.07
41,-18.5577,-16.2531,416.917786062511,6.58991565152844,0.0586538713820476,0.16311322190779,22.8816457020851,1.00256073819472,1507.21,89.4515,0.07,0.07
42,-19.2927,-16.561,1227.48577254302,7.52023303398701,0.0769539874590392,0.161565940734017,87.0125272778797,1.11611744660891,735.589,91.5927,0.07,0.07
43,-19.089,-16.2073,874.847159498393,5.56831971849349,0.102227980348004,0.182551085480257,79.8048136164883,0.90297358985977,672.196,90.8992,0.1,0.1
44,-18.5597,-15.6594,355.607445815403,8.70620173206199,0.0724701138568529,0.135397773198168,23.4583951097998,1.07713773787165,1139.31,78.3457,0.1,0.1
45,-19.089,-16.2073,874.847159498393,5.56831971849349,0.102227980348004,0.182551085480257,79.8048136164883,0.90297358985977,672.196,90.8992,0.1,0.1
46,-19.0913,-16.4926,1274.6314996915,7.61751242066476,0.076454050767663,0.154337794889454,89.7791426990534,1.08111832507823,737.572,96.1851,0.07,0.07
47,-18.4916,-16.163,419.917880101842,6.33511520198375,0.0604050973742306,0.172239103389444,23.734549773477,1.01610722339456,1541.74,92.8997,0.07,0.07
48,-19.0913,-16.4926,1274.6314996915,7.61751242066476,0.076454050767663,0.154337794889454,89.7791426990534,1.08111832507823,737.572,96.1851,0.07,0.07
49,-19.6673,-15.5308,483.771715165186,8.63096481766072,0.164596003542853,0.12540884098079,69.8349688945759,0.969715776030031,588.115,77.9936,0.1,0.1
50,-18.5976,-16.9141,315.48719236597,30.2567819367384,0.0879721510167635,0.0628097883186252,25.1709241053914,1.74249079287745,1088.69,92.9821,0.1,0.1
51,-19.6673,-15.5308,483.771715165186,8.63096481766072,0.164596003542853,0.12540884098079,69.8349688945759,0.969715776030031,588.115,77.9936,0.1,0.1
52,-19.5983,-15.7933,591.784350627619,18.0481314238636,0.122939054764872,0.0865154014255106,66.2253877973005,1.44190545123786,645.157,84.347,0.07,0.07
53,-18.4308,-17.0424,422.112818759916,24.6709728979784,0.0622757841532195,0.0609087545906108,24.5603152920308,1.41412612925103,1428.33,96.9459,0.07,0.07
54,-19.5983,-15.7933,591.784350627619,18.0481314238636,0.122939054764872,0.0865154014255106,66.2253877973005,1.44190545123786,645.157,84.347,0.07,0.07
55,-19.9106,-15.2844,503.855609029185,7.40817318658595,0.15570629210734,0.144327439718369,68.9680535814559,0.957645414497132,582.645,85.9578,0.1,0.1
56,-18.7248,-16.8231,326.247047316309,26.5173404635311,0.0861162290622789,0.0714465987001746,25.4885957174565,1.73566409050695,1110.58,96.2072,0.1,0.1
57,-19.9106,-15.2844,503.855609029185,7.40817318658595,0.15570629210734,0.144327439718369,68.9680535814559,0.957645414497132,582.645,85.9578,0.1,0.1
58,-19.8756,-15.4843,593.307457953015,12.9400402333215,0.125832380186088,0.103508101741358,67.9054593169546,1.23955492900056,651.347,87.8886,0.07,0.07
59,-18.4593,-16.8983,398.300714813539,29.3044399660431,0.0662945235119852,0.0578176479033409,24.6460800612084,1.59440104065906,1458.86,109.455,0.07,0.07
60,-19.8756,-15.4843,593.307457953015,12.9400402333215,0.125832380186088,0.103508101741358,67.9054593169546,1.23955492900056,651.347,87.8886,0.07,0.07
61,-20.0697,-15.4385,632.064159804783,10.6647546399117,0.146118835492298,0.109895674125919,81.4053739395244,1.0497769594648,731.243,79.454,0.1,0.1
62,-18.6578,-16.9885,306.515969396669,31.6797651387249,0.108560819871256,0.0630752141539292,30.0830455881867,1.83054296821067,1291.74,93.7093,0.1,0.1
63,-20.0697,-15.4385,632.064159804783,10.6647546399117,0.146118835492298,0.109895674125919,81.4053739395244,1.0497769594648,731.243,79.454,0.1,0.1
64,-19.8362,-15.5877,651.468672837248,19.9294192922666,0.129532439422557,0.0790816933210943,76.675268711084,1.45554636423793,768.396,82.2553,0.07,0.07
65,-18.4357,-17.0181,515.299270271287,16.9219198462377,0.0604026385659402,0.0844007014046413,29.095598163122,1.3435195779697,1746.95,99.5312,0.07,0.07
66,-19.8362,-15.5877,651.468672837248,19.9294192922666,0.129532439422557,0.0790816933210943,76.675268711084,1.45554636423793,768.396,82.2553,0.07,0.07
67,-20.1952,-15.3936,583.08787352408,8.97090354197245,0.151368350383734,0.129827894259367,77.6855653857143,1.04476753133947,661.131,89.0508,0.1,0.1
68,-18.7389,-16.789,317.102952739463,26.3694758760629,0.105951206461595,0.0719736661649098,30.3886785270933,1.73854297249237,1320.34,95.7382,0.1,0.1
69,-20.1952,-15.3936,583.08787352408,8.97090354197245,0.151368350383734,0.129827894259367,77.6855653857143,1.04476753133947,661.131,89.0508,0.1,0.1
70,-20.1049,-15.4158,673.666087104425,13.3177084526564,0.127350084584392,0.10094898837605,78.0036054252749,1.24455673464307,761.758,87.6895,0.07,0.07
71,-19.0594,-16.9209,534.529581864279,36.9768894695806,0.0654099107275188,0.0520420157586549,32.6418271521559,1.81062404760492,1919.72,118.196,0.07,0.07
72,-20.1049,-15.4158,673.666087104425,13.3177084526564,0.127350084584392,0.10094898837605,78.0036054252749,1.24455673464307,761.758,87.6895,0.07,0.07
73,-19.6107,-17.6797,415.794668382758,22.069195856396,0.17971667011631,0.114170387879122,65.2495510873349,2.26100272549222,509.386,160.91,0.1,0.1
74,-18.7141,-17.6704,321.748833311565,30.1455449287884,0.0851375759782069,0.0764785492509757,24.8564805208805,2.11557409173087,1082.13,122.803,0.1,0.1
75,-19.6107,-17.6797,415.794668382758,22.069195856396,0.17971667011631,0.114170387879122,65.2495510873349,2.26100272549222,509.386,160.91,0.1,0.1
76,-19.3458,-17.9375,610.68868612598,22.8786262551772,0.11717640096362,0.100413163477395,65.2496119062216,2.12784691196436,556.923,175.02,0.07,0.07
77,-18.4577,-17.6859,388.536301045093,23.1316471930105,0.0646536132903897,0.0777915211168873,23.453684375792,1.69265410750545,1396.62,129.159,0.07,0.07
78,-19.3458,-17.9375,610.68868612598,22.8786262551772,0.11717640096362,0.100413163477395,65.2496119062216,2.12784691196436,556.923,175.02,0.07,0.07
79,-19.9152,-17.2455,441.325528939466,16.7384400218481,0.177577432943586,0.131844755272059,68.4842628465407,1.9792861521147,510.061,153.066,0.1,0.1
80,-18.9233,-17.6811,320.368846324505,36.0896540144476,0.0846164728419451,0.0702503791284249,24.6010940285045,2.32394060113686,1077.75,135.632,0.1,0.1
81,-19.9152,-17.2455,441.325528939466,16.7384400218481,0.177577432943586,0.131844755272059,68.4842628465407,1.9792861521147,510.061,153.066,0.1,0.1
82,-19.4055,-17.8664,621.721609356008,22.4743376835805,0.118184686819863,0.108945155853573,66.9866736948215,2.26613197815737,538.046,192.419,0.07,0.07
83,-18.6234,-17.6718,388.612362416439,17.4634277276714,0.0603721849235313,0.10575396974121,21.9193730239219,1.73354022503116,1350.13,144.403,0.07,0.07
84,-19.4055,-17.8664,621.721609356008,22.4743376835805,0.118184686819863,0.108945155853573,66.9866736948215,2.26613197815737,538.046,192.419,0.07,0.07
85,-20.2664,-17.1962,529.799510996713,15.7375462187379,0.172353839627061,0.11687001185021,79.9695925754235,1.65125530301867,653.739,128.302,0.1,0.1
86,-18.6597,-17.6442,308.107203558992,31.1657245036508,0.105435439884331,0.0737119209650589,29.3973246809554,2.10773400273502,1265.18,120.587,0.1,0.1
87,-20.2664,-17.1962,529.799510996713,15.7375462187379,0.172353839627061,0.11687001185021,79.9695925754235,1.65125530301867,653.739,128.302,0.1,0.1
88,-19.6551,-17.8962,632.745163992418,21.8716238783816,0.127576797597668,0.101320088862202,73.3868538581522,2.05248200688789,665.437,169.198,0.07,0.07
89,-18.7824,-17.7509,492.570628213529,36.4350952450717,0.0689633548592533,0.0545850743093312,31.6949049271125,1.87133070427062,1826.88,128.849,0.07,0.07
90,-19.6551,-17.8962,632.745163992418,21.8716238783816,0.127576797597668,0.101320088862202,73.3868538581522,2.05248200688789,665.437,169.198,0.07,0.07
91,-20.3584,-17.052,534.649467541188,14.7382223470622,0.173438947484882,0.132265370857854,81.1854989355271,1.74880943847443,628.791,141.163,0.1,0.1
92,-18.894,-17.6409,314.218754826406,32.7741983201796,0.101675222258703,0.0743079049859584,28.9278263289998,2.23210090958958,1265.4,132.944,0.1,0.1
93,-20.3584,-17.052,534.649467541188,14.7382223470622,0.173438947484882,0.132265370857854,81.1854989355271,1.74880943847443,628.791,141.163,0.1,0.1
94,-19.7731,-17.807,660.434443957507,21.3996648131892,0.126868254893051,0.110210438969715,76.1959622095426,2.18294863695613,649.122,185.74,0.07,0.07
95,-18.644,-17.6979,416.805034812386,17.9319759268148,0.0684313280585096,0.104548765410784,26.6084138025456,1.76022835041571,1568.3,147.84,0.07,0.07
96,-19.7731,-17.807,660.434443957507,21.3996648131892,0.126868254893051,0.110210438969715,76.1959622095426,2.18294863695613,649.122,185.74,0.07,0.07
